dates,ventilation,supplementary_oxygen,intensive_care_unit,home_isolation,recovered,high_dependency_unit,in_hospital,audited_deaths,total_recoveries,positivity_rate
2020-12-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-08,31.0,105.0,71.0,8016.0,425.0,8.0,0.0,0.0,69839.0,0.0
2020-12-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-10,27.0,80.0,55.0,7844.0,1060.0,7.0,0.0,0.0,71254.0,0.0
2020-12-11,26.0,70.0,45.0,7887.0,325.0,8.0,992.0,0.0,71579.0,0.0
2020-12-12,27.0,62.0,44.0,6782.0,1017.0,9.0,0.0,0.0,72596.0,0.0
2020-12-13,28.0,66.0,48.0,6583.0,432.0,9.0,0.0,0.0,73028.0,0.0
2020-12-14,27.0,66.0,49.0,6581.0,424.0,9.0,0.0,0.0,73452.0,0.0
2020-12-15,23.0,63.0,46.0,6284.0,527.0,11.0,871.0,0.0,73979.0,0.0
2020-12-16,23.0,63.0,46.0,6172.0,424.0,11.0,0.0,0.0,74403.0,0.0
2020-12-17,22.0,64.0,49.0,6090.0,596.0,10.0,0.0,0.0,74999.0,0.0
2020-12-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-19,24.0,53.0,52.0,5916.0,0.0,5.0,0.0,0.0,75559.0,0.0
2020-12-20,24.0,53.0,52.0,5916.0,0.0,5.0,0.0,0.0,75559.0,0.0
2020-12-21,24.0,45.0,46.0,5873.0,325.0,4.0,0.0,0.0,76060.0,0.0
2020-12-22,22.0,49.0,43.0,3740.0,162.0,4.0,835.0,0.0,76222.0,0.0
2020-12-23,20.0,50.0,43.0,3705.0,286.0,5.0,0.0,0.0,76508.0,0.0
2020-12-24,20.0,51.0,42.0,3636.0,212.0,5.0,0.0,0.0,76720.0,0.0
2020-12-25,18.0,50.0,37.0,3659.0,91.0,7.0,0.0,0.0,76811.0,0.0
2020-12-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-28,17.0,44.0,34.0,3386.0,98.0,7.0,0.0,0.0,77521.0,0.0
2020-12-29,17.0,29.0,31.0,3368.0,138.0,2.0,0.0,0.0,77659.0,0.0
2020-12-30,16.0,35.0,30.0,3214.0,816.0,2.0,0.0,0.0,78475.0,0.0
2020-12-31,14.0,35.0,28.0,3024.0,262.0,1.0,0.0,0.0,78737.0,0.0
2021-01-01,14.0,30.0,28.0,2960.0,65.0,0.0,0.0,0.0,78802.0,0.0
2021-01-02,14.0,31.0,29.0,2989.0,55.0,0.0,0.0,0.0,79012.0,0.0
2021-01-03,12.0,30.0,26.0,2934.0,216.0,0.0,0.0,0.0,79073.0,0.0
2021-01-04,13.0,31.0,28.0,2964.0,184.0,0.0,0.0,0.0,79257.0,0.0
2021-01-05,15.0,28.0,29.0,2940.0,100.0,1.0,0.0,0.0,79357.0,0.0
2021-01-06,16.0,25.0,27.0,2708.0,609.0,1.0,0.0,0.0,79966.0,0.0
2021-01-07,18.0,19.0,29.0,2498.0,340.0,10.0,0.0,0.0,80306.0,0.0
2021-01-08,19.0,22.0,32.0,2191.0,365.0,10.0,0.0,0.0,80671.0,0.0
2021-01-09,20.0,21.0,31.0,1961.0,137.0,10.0,0.0,0.0,80808.0,0.0
2021-01-10,20.0,22.0,32.0,2142.0,67.0,11.0,0.0,0.0,80875.0,0.0
2021-01-11,20.0,21.0,31.0,2190.0,226.0,11.0,0.0,0.0,81101.0,0.0
2021-01-12,21.0,21.0,32.0,2116.0,154.0,11.0,0.0,0.0,81255.0,0.0
2021-01-13,0.0,0.0,0.0,0.0,412.0,0.0,0.0,0.0,0.0,0.0
2021-01-14,17.0,24.0,26.0,1981.0,266.0,3.0,0.0,0.0,81933.0,0.0
2021-01-15,14.0,26.0,29.0,1966.0,262.0,1.0,0.0,0.0,82195.0,0.0
2021-01-16,14.0,25.0,29.0,1764.0,129.0,1.0,0.0,0.0,83324.0,0.0
2021-01-17,14.0,26.0,30.0,1666.0,26.0,1.0,0.0,0.0,82350.0,0.0
2021-01-18,13.0,23.0,28.0,1740.0,77.0,1.0,697.0,0.0,82427.0,0.0
2021-01-19,13.0,24.0,29.0,1701.0,51.0,1.0,0.0,0.0,82478.0,0.0
2021-01-20,14.0,25.0,30.0,1787.0,176.0,1.0,0.0,0.0,82654.0,0.0
2021-01-21,16.0,27.0,33.0,1577.0,75.0,1.0,674.0,0.0,82729.0,0.0
2021-01-22,16.0,25.0,27.0,1580.0,137.0,5.0,577.0,0.0,82866.0,0.0
